CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,974.253722,3.247512406666667,32.40160399947369,9.977893438835071,30.06646661833114,307.944428893
1,614400,1995.304384,3.247565729166667,65.89058727069848,9.907376318415754,30.280468850503066,150.361026192
1,864000,2805.862382,3.2475259050925924,84.30844006856942,9.014701686686998,33.27897144317521,106.925257772
1,1017600,3304.656261,3.247500256485849,98.16724789947087,8.912261211011941,33.66149093894619,90.786503663
1,1305600,4239.863194,3.24744423560049,130.71867236038435,9.24996363463645,32.43255993749546,70.7623744
1,1420800,4609.923629,3.2445971487894143,144.13532657022387,9.380650227942262,31.980725505187923,65.082242162
1,1612800,5237.430168,3.2474145386904762,176.68762205898685,10.121552772350244,29.639720974387554,57.285013259
1,1804800,5860.977611,3.2474388358820923,214.59871461493097,10.985479149401387,27.308776970037524,51.190796595
4,300000,1568.48803,5.2282934333333335,82.45524678941986,15.772329855192716,19.020652164539353,191.283520083
4,652800,3414.795169,5.2309975015318635,134.37740634291063,11.807359953157034,25.40788128677202,87.867151737
4,902400,4716.239585,5.2263293273492915,180.57953134043026,11.489504472088438,26.11078665131232,63.62572982
4,1056000,5519.677651,5.226967472537879,215.70187974514488,11.72704579077997,25.581890388444275,54.366915136
4,1401600,7324.03994,5.225485117009132,318.20392154970807,13.03859388498126,23.008616009243173,40.975591443
4,1536000,8028.259473,5.226731427734375,362.91216488991836,13.56666251432706,22.113028881140465,37.382771444
4,1612800,8425.546256,5.22417302579365,395.83342749795713,14.099544501133863,21.27728310484601,35.619893424
4,1804800,9436.633009,5.228630878213652,475.712983631024,15.130532032475005,19.82745876722003,31.806010248
